id,name,structure-id,structure-abbrev,structure-name,structure-color,strain,transgenic-line,gender,injection-coordinates,injection-volume,injection-structures,r,num-voxels,selected,experiment_page_url
127867804,Erbb4-2A-CreERT2-D-5682,749,VTA,Ventral tegmental area,FF90FF,B6.Cg,Erbb4-2A-CreERT2,M,"[8120, 4730, 5640]",0.779146,"[{""id""=>12, ""name""=>""Interfascicular nucleus raphe"", ""abbreviation""=>""IF"", ""color""=>""FFA6FF""}, {""id""=>100, ""name""=>""Interpeduncular nucleus"", ""abbreviation""=>""IPN"", ""color""=>""FFA6FF""}, {""id""=>128, ""name""=>""Midbrain reticular nucleus"", ""abbreviation""=>""MRN"", ""color""=>""FF90FF""}, {""id""=>194, ""name""=>""Lateral hypothalamic area"", ""abbreviation""=>""LHA"", ""color""=>""F2483B""}, {""id""=>374, ""name""=>""Substantia nigra, compact part"", ""abbreviation""=>""SNc"", ""color""=>""FFA6FF""}, {""id""=>414, ""name""=>""Subparafascicular nucleus, magnocellular part"", ""abbreviation""=>""SPFm"", ""color""=>""FF8084""}, {""id""=>749, ""name""=>""Ventral tegmental area"", ""abbreviation""=>""VTA"", ""color""=>""FF90FF""}, {""id""=>886, ""name""=>""Retrosplenial area, ventral part"", ""abbreviation""=>""RSPv"", ""color""=>""1AA698""}, {""id""=>946, ""name""=>""Posterior hypothalamic nucleus"", ""abbreviation""=>""PH"", ""color""=>""FF4C3E""}]",1.0000,21010,false,http://connectivity.brain-map.org/projection/experiment/127867804
180522266,Erbb4-2A-CreERT2-D-5744,128,MRN,Midbrain reticular nucleus,FF90FF,B6.Cg,Erbb4-2A-CreERT2,M,"[8090, 4540, 5590]",0.422801,"[{""id""=>128, ""name""=>""Midbrain reticular nucleus"", ""abbreviation""=>""MRN"", ""color""=>""FF90FF""}, {""id""=>197, ""name""=>""Rostral linear nucleus raphe"", ""abbreviation""=>""RL"", ""color""=>""FFA6FF""}, {""id""=>214, ""name""=>""Red nucleus"", ""abbreviation""=>""RN"", ""color""=>""FF90FF""}, {""id""=>749, ""name""=>""Ventral tegmental area"", ""abbreviation""=>""VTA"", ""color""=>""FF90FF""}, {""id""=>795, ""name""=>""Periaqueductal gray"", ""abbreviation""=>""PAG"", ""color""=>""FF90FF""}, {""id""=>946, ""name""=>""Posterior hypothalamic nucleus"", ""abbreviation""=>""PH"", ""color""=>""FF4C3E""}]",0.7627,21010,false,http://connectivity.brain-map.org/projection/experiment/180522266
112425523,378-946,194,LHA,Lateral hypothalamic area,F2483B,C57BL/6J,"",M,"[7790, 5020, 5920]",0.200815,"[{""id""=>128, ""name""=>""Midbrain reticular nucleus"", ""abbreviation""=>""MRN"", ""color""=>""FF90FF""}, {""id""=>194, ""name""=>""Lateral hypothalamic area"", ""abbreviation""=>""LHA"", ""color""=>""F2483B""}, {""id""=>414, ""name""=>""Subparafascicular nucleus, magnocellular part"", ""abbreviation""=>""SPFm"", ""color""=>""FF8084""}, {""id""=>685, ""name""=>""Ventral medial nucleus of the thalamus"", ""abbreviation""=>""VM"", ""color""=>""FF8084""}, {""id""=>749, ""name""=>""Ventral tegmental area"", ""abbreviation""=>""VTA"", ""color""=>""FF90FF""}, {""id""=>797, ""name""=>""Zona incerta"", ""abbreviation""=>""ZI"", ""color""=>""F2483B""}, {""id""=>946, ""name""=>""Posterior hypothalamic nucleus"", ""abbreviation""=>""PH"", ""color""=>""FF4C3E""}]",0.7614,20629,false,http://connectivity.brain-map.org/projection/experiment/112425523
127470271,378-1301,194,LHA,Lateral hypothalamic area,F2483B,C57BL/6J,"",M,"[7360, 5920, 6000]",0.661692,"[{""id""=>194, ""name""=>""Lateral hypothalamic area"", ""abbreviation""=>""LHA"", ""color""=>""F2483B""}, {""id""=>210, ""name""=>""Lateral mammillary nucleus"", ""abbreviation""=>""LM"", ""color""=>""FF4C3E""}, {""id""=>364, ""name""=>""Parasubthalamic nucleus"", ""abbreviation""=>""PSTN"", ""color""=>""F2483B""}, {""id""=>491, ""name""=>""Medial mammillary nucleus"", ""abbreviation""=>""MM"", ""color""=>""FF4C3E""}, {""id""=>525, ""name""=>""Supramammillary nucleus"", ""abbreviation""=>""SUM"", ""color""=>""FF4C3E""}, {""id""=>685, ""name""=>""Ventral medial nucleus of the thalamus"", ""abbreviation""=>""VM"", ""color""=>""FF8084""}, {""id""=>741, ""name""=>""Ventral posteromedial nucleus of the thalamus, parvicellular part"", ""abbreviation""=>""VPMpc"", ""color""=>""FF8084""}, {""id""=>749, ""name""=>""Ventral tegmental area"", ""abbreviation""=>""VTA"", ""color""=>""FF90FF""}, {""id""=>797, ""name""=>""Zona incerta"", ""abbreviation""=>""ZI"", ""color""=>""F2483B""}, {""id""=>946, ""name""=>""Posterior hypothalamic nucleus"", ""abbreviation""=>""PH"", ""color""=>""FF4C3E""}, {""id""=>980, ""name""=>""Dorsal premammillary nucleus"", ""abbreviation""=>""PMd"", ""color""=>""FF4C3E""}]",0.7103,20557,false,http://connectivity.brain-map.org/projection/experiment/127470271
164986046,Sim1-Cre-Homo-264,946,PH,Posterior hypothalamic nucleus,FF4C3E,B6.FVB,Sim1-Cre,M,"[7650, 5010, 5320]",0.992058,"[{""id""=>128, ""name""=>""Midbrain reticular nucleus"", ""abbreviation""=>""MRN"", ""color""=>""FF90FF""}, {""id""=>194, ""name""=>""Lateral hypothalamic area"", ""abbreviation""=>""LHA"", ""color""=>""F2483B""}, {""id""=>422, ""name""=>""Subparafascicular nucleus, parvicellular part"", ""abbreviation""=>""SPFp"", ""color""=>""FF8084""}, {""id""=>525, ""name""=>""Supramammillary nucleus"", ""abbreviation""=>""SUM"", ""color""=>""FF4C3E""}, {""id""=>609, ""name""=>""Subparafascicular area"", ""abbreviation""=>""SPA"", ""color""=>""FF8084""}, {""id""=>685, ""name""=>""Ventral medial nucleus of the thalamus"", ""abbreviation""=>""VM"", ""color""=>""FF8084""}, {""id""=>749, ""name""=>""Ventral tegmental area"", ""abbreviation""=>""VTA"", ""color""=>""FF90FF""}, {""id""=>795, ""name""=>""Periaqueductal gray"", ""abbreviation""=>""PAG"", ""color""=>""FF90FF""}, {""id""=>797, ""name""=>""Zona incerta"", ""abbreviation""=>""ZI"", ""color""=>""F2483B""}, {""id""=>946, ""name""=>""Posterior hypothalamic nucleus"", ""abbreviation""=>""PH"", ""color""=>""FF4C3E""}]",0.7092,20473,false,http://connectivity.brain-map.org/projection/experiment/164986046
165035106,Sim1-Cre-Homo-268,194,LHA,Lateral hypothalamic area,F2483B,B6.FVB,Sim1-Cre,F,"[7150, 5650, 6020]",0.871831,"[{""id""=>194, ""name""=>""Lateral hypothalamic area"", ""abbreviation""=>""LHA"", ""color""=>""F2483B""}, {""id""=>668, ""name""=>""Dorsomedial nucleus of the hypothalamus, anterior part"", ""abbreviation""=>""DMHa"", ""color""=>""FF5547""}, {""id""=>797, ""name""=>""Zona incerta"", ""abbreviation""=>""ZI"", ""color""=>""F2483B""}, {""id""=>946, ""name""=>""Posterior hypothalamic nucleus"", ""abbreviation""=>""PH"", ""color""=>""FF4C3E""}]",0.6944,21010,false,http://connectivity.brain-map.org/projection/experiment/165035106
156195758,Sim1-Cre-Homo-222,194,LHA,Lateral hypothalamic area,F2483B,B6.FVB,Sim1-Cre,F,"[7400, 5700, 6340]",0.213838,"[{""id""=>194, ""name""=>""Lateral hypothalamic area"", ""abbreviation""=>""LHA"", ""color""=>""F2483B""}, {""id""=>364, ""name""=>""Parasubthalamic nucleus"", ""abbreviation""=>""PSTN"", ""color""=>""F2483B""}]",0.6874,21010,false,http://connectivity.brain-map.org/projection/experiment/156195758
113096571,378-1095,795,PAG,Periaqueductal gray,FF90FF,C57BL/6J,"",M,"[9010, 2780, 5740]",0.469722,"[{""id""=>294, ""name""=>""Superior colliculus, motor related"", ""abbreviation""=>""SCm"", ""color""=>""FF90FF""}, {""id""=>795, ""name""=>""Periaqueductal gray"", ""abbreviation""=>""PAG"", ""color""=>""FF90FF""}]",0.6863,21010,false,http://connectivity.brain-map.org/projection/experiment/113096571
167902586,Rbp4-Cre-129,746,ORBvl,"Orbital area, ventrolateral part",248A5E,unknown,Rbp4-Cre_KL100,F,"[2570, 3680, 5890]",0.536006,"[{""id""=>39, ""name""=>""Anterior cingulate area, dorsal part"", ""abbreviation""=>""ACAd"", ""color""=>""40A666""}, {""id""=>44, ""name""=>""Infralimbic area"", ""abbreviation""=>""ILA"", ""color""=>""59B363""}, {""id""=>731, ""name""=>""Orbital area, medial part"", ""abbreviation""=>""ORBm"", ""color""=>""248A5E""}, {""id""=>746, ""name""=>""Orbital area, ventrolateral part"", ""abbreviation""=>""ORBvl"", ""color""=>""248A5E""}, {""id""=>972, ""name""=>""Prelimbic area"", ""abbreviation""=>""PL"", ""color""=>""2FA850""}]",0.6667,21010,false,http://connectivity.brain-map.org/projection/experiment/167902586
304674547,Slc32a1-IRES-Cre-126621,194,LHA,Lateral hypothalamic area,F2483B,B6.129,Slc32a1-IRES-Cre,M,"[6860, 5750, 6360]",0.321111,"[{""id""=>194, ""name""=>""Lateral hypothalamic area"", ""abbreviation""=>""LHA"", ""color""=>""F2483B""}, {""id""=>356, ""name""=>""Preparasubthalamic nucleus"", ""abbreviation""=>""PST"", ""color""=>""F2483B""}, {""id""=>797, ""name""=>""Zona incerta"", ""abbreviation""=>""ZI"", ""color""=>""F2483B""}]",0.6644,21010,false,http://connectivity.brain-map.org/projection/experiment/304674547
